filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2025-06-18,2025-06-19 00:22:13+00:00,0000950103-25-007623,xslF345X05/dp230338_4-andreessen.xml,4,META
2025-06-18,2025-06-19 00:20:31+00:00,0000950103-25-007622,xslF345X05/dp230331_4-songhurst.xml,4,META
2025-06-18,2025-06-19 00:15:06+00:00,0000950103-25-007621,xslF345X05/dp230346_4-olivan.xml,4,META
2025-06-12,2025-06-12 22:20:58+00:00,0000950103-25-007336,xslF345X05/dp230055_4-newstead.xml,4,META
2025-06-11,2025-06-12 01:09:37+00:00,0000950103-25-007275,xslF345X05/dp230058_4-zuckerberg611.xml,4,META
2025-06-11,2025-06-12 01:04:08+00:00,0000950103-25-007273,xslF345X05/dp230054_4-zuckerberg.xml,4,META
2025-06-11,2025-06-12 00:59:34+00:00,0000950103-25-007272,xslF345X05/dp230030_4-zuckerberg.xml,4,META
2025-06-11,2025-06-11 22:17:30+00:00,0000950103-25-007268,xslF345X05/dp229952_4-olivan.xml,4,META
2025-06-09,2025-06-09 22:35:49+00:00,0000950103-25-007166,xslF345X05/dp229943_4-zuckerberg.xml,4,META
2025-06-05,2025-06-05 22:39:34+00:00,0000950103-25-007078,xslF345X05/dp229805_4-newstead.xml,4,META
2025-06-04,2025-06-04 22:09:08+00:00,0000950103-25-007028,xslF345X05/dp229717_4-olivan.xml,4,META
2025-05-29,2025-05-29 22:13:26+00:00,0000950103-25-006667,xslF345X05/dp229320_4-newstead.xml,4,META
2025-05-29,2025-05-29 22:08:37+00:00,0000950103-25-006666,xslF345X05/dp229319_4-olivan.xml,4,META
2025-05-22,2025-05-22 22:11:44+00:00,0000950103-25-006356,xslF345X05/dp229137_4-newstead.xml,4,META
2025-05-21,2025-05-21 23:03:15+00:00,0000950103-25-006316,xslF345X05/dp229099_4-olivan.xml,4,META
2025-05-21,2025-05-21 22:34:57+00:00,0000950103-25-006310,xslF345X05/dp229100_4-kimmitt.xml,4,META
2025-05-20,2025-05-20 23:12:44+00:00,0000950103-25-006264,xslF345X05/dp228826_4-elkann.xml,4,META
2025-05-19,2025-05-20 01:18:07+00:00,0000950103-25-006213,xslF345X05/dp228974_4-newstead.xml,4,META
2025-05-19,2025-05-20 01:09:26+00:00,0000950103-25-006212,xslF345X05/dp228837_4-collison.xml,4,META
2025-05-19,2025-05-20 00:23:13+00:00,0000950103-25-006209,xslF345X05/dp228975_4-bosworth.xml,4,META
2025-05-19,2025-05-20 00:21:13+00:00,0000950103-25-006208,xslF345X05/dp228976_4-li.xml,4,META
2025-05-19,2025-05-20 00:20:55+00:00,0000950103-25-006207,xslF345X05/dp228977_4-olivan.xml,4,META
2025-05-19,2025-05-20 00:19:10+00:00,0000950103-25-006206,xslF345X05/dp228947_4-cox.xml,4,META
2025-05-19,2025-05-20 00:18:05+00:00,0000950103-25-006205,xslF345X05/dp228946_4-anderson.xml,4,META
2025-05-19,2025-05-20 00:16:46+00:00,0000950103-25-006204,xslF345X05/dp228838_4-powell.xml,4,META
2025-05-19,2025-05-20 00:16:05+00:00,0000950103-25-006203,xslF345X05/dp228836_4-alford.xml,4,META
2025-05-19,2025-05-20 00:13:09+00:00,0000950103-25-006202,xslF345X05/dp228835_4-travis.xml,4,META
